iter	Logloss
0	0.6846204095
1	0.6675706433
2	0.6526530823
3	0.6386688561
4	0.6272021659
5	0.6149426751
6	0.6021579756
7	0.590211186
8	0.5802879634
9	0.5699426138
10	0.5611646208
11	0.5523529381
12	0.542233878
13	0.532757634
14	0.523663527
15	0.514332061
16	0.5067524572
17	0.499769379
18	0.493343274
19	0.4872468901
20	0.4798338094
21	0.4752593666
22	0.4697080988
23	0.4651855469
24	0.4605204483
25	0.4556455113
26	0.4505485289
27	0.4450691469
28	0.4399211925
29	0.4362092049
30	0.4330333204
31	0.4281378196
32	0.42550797
33	0.4216806501
34	0.4182198911
35	0.4159513084
36	0.4131550669
37	0.4112969293
38	0.4087947941
39	0.4062515751
40	0.4038351955
41	0.4014579308
42	0.3987539203
43	0.3956373208
44	0.3927641619
45	0.3905875476
46	0.3891403362
47	0.3860547575
48	0.3845212219
49	0.3829004869
50	0.3814375245
51	0.3797950444
52	0.3769742138
53	0.3755361468
54	0.3737238183
55	0.3716587299
56	0.3698920356
57	0.3687121976
58	0.3669416968
59	0.3647716016
60	0.3619995555
61	0.3600401738
62	0.3586578041
63	0.3565723925
64	0.3554278411
65	0.3540495842
66	0.3524571573
67	0.3515881391
68	0.3493600934
69	0.3482155858
70	0.3473620562
71	0.345407006
72	0.3445343127
73	0.3432193442
74	0.3420678361
75	0.3409989989
76	0.3401876908
77	0.3386759221
78	0.3376780301
79	0.3368707035
80	0.3353852522
81	0.3344584147
82	0.3335049756
83	0.3328059371
84	0.3317897783
85	0.3301851006
86	0.3293608635
87	0.3286937208
88	0.3279659586
89	0.3267509871
90	0.3261154995
91	0.3251229891
92	0.3243129498
93	0.3235058856
94	0.3228691074
95	0.3217802314
96	0.3208762548
97	0.3203024369
98	0.3194742401
99	0.3183033495
100	0.3177022954
101	0.3172629736
102	0.316429614
103	0.3159975551
104	0.3152838813
105	0.3146752142
106	0.3141354797
107	0.3127758177
108	0.3120711788
109	0.3113160055
110	0.3109744274
111	0.310004034
112	0.3094669028
113	0.3089431599
114	0.3086308743
115	0.308238521
116	0.3068714867
117	0.306208763
118	0.3054273161
119	0.3045006755
120	0.303400402
121	0.3026329779
122	0.3014022991
123	0.3010379477
124	0.3004091543
125	0.3000784269
126	0.2989504578
127	0.2984797433
128	0.2977092565
129	0.2970256846
130	0.2962034164
131	0.2959292395
132	0.295105418
133	0.2946346379
134	0.2940390529
135	0.2934985089
136	0.2927755595
137	0.2923882816
138	0.2919351338
139	0.291206431
140	0.2903336282
141	0.2901130485
142	0.289577733
143	0.2892954399
144	0.2887543928
145	0.2883284811
146	0.2876309303
147	0.2872259981
148	0.2869100591
149	0.286535032
150	0.2860156425
151	0.2856335055
152	0.2848489303
153	0.2843946231
154	0.2840131425
155	0.2836139638
156	0.2832145664
157	0.2827680472
158	0.2820899006
159	0.2815703799
160	0.2813202451
161	0.2808079217
162	0.2800801595
163	0.2796728866
164	0.2792686326
165	0.2787009181
166	0.2782102523
167	0.2779439509
168	0.2775001663
169	0.2770445246
170	0.2766443615
171	0.27621099
172	0.2759941949
173	0.2756294278
174	0.2753173172
175	0.2748042718
176	0.2744140187
177	0.2739680902
178	0.2737113925
179	0.2732361277
180	0.2728456559
181	0.2725204851
182	0.2721537053
183	0.2717282969
184	0.2715832126
185	0.2713738336
186	0.2709794239
187	0.2705382207
188	0.2701900359
189	0.2700230971
190	0.2695785905
